gtap23,run1_coef,run1_t,run1_sig,run2_coef,run2_t,run2_sig,run3_coef,run3_t,run3_sig
aff,0.372,7.58,***,0.177,2.75,***,-0.023,0.57,
b_t,0.29,3.12,***,-0.187,2.15,**,0.085,1.55,
crp,0.204,3.28,***,0.062,1.33,,-0.021,0.89,
eeq,0.278,4.88,***,0.161,2.87,***,-0.049,1.26,
enr,0.329,3.42,***,0.067,0.67,,-0.069,1.18,
mff,0.401,6.83,***,0.272,4.5,***,0.14,3.47,***
mvh,0.782,9.4,***,0.546,4.83,***,-0.049,1.04,
ofd,0.377,7.36,***,0.039,0.7,,0.073,2.89,***
ome,0.323,6.28,***,0.284,5.34,***,-0.031,1.52,
omf,0.365,4.48,***,0.297,4.3,***,-0.012,0.32,
otn,0.12,1.7,*,-0.008,0.11,,-0.117,1.69,*
ppp,0.416,7.17,***,0.107,1.74,*,-0.076,2.57,**
prf,0.655,8.45,***,0.374,3.94,***,0.056,1.1,
tal,0.166,2.44,**,0.062,0.83,,0.011,0.2,
