gtap23,n_hs6,n_cells,FTA_coef,FTA_SE,t_stat,pct_trade_chg,positive,sig_1pct,sig_5pct,sig_10pct,pos_sig_1pct,pos_sig_5pct,pos_sig_10pct,nobs,status
aff,296,15,0.17672306716603298,0.0643231899510631,2.7474238653350893,0.19330058325243837,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11638691,ok
b_t,32,15,-0.18749174381360642,0.08737042243252678,2.145940680994188,-0.17096403717241893,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2012643,ok
crp,997,15,0.06199291028695649,0.04650602012122604,1.3330082885046104,0.0639548015670599,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41305558,ok
eeq,289,15,0.16144813616619344,0.05619097790650136,2.873203887549957,0.17521150560355814,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,19427580,ok
enr,118,15,0.06671243824847947,0.09990621269849481,0.667750647798148,0.06898803390072894,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3718736,ok
mff,888,15,0.2724865016615382,0.0605384879204786,4.501045715239331,0.3132257324274361,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,42128829,ok
mvh,54,15,0.5463900644481136,0.11304082281042677,4.833564113067612,0.7270073661604382,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4859777,ok
ofd,270,15,0.03884836905628292,0.055358853095631155,0.7017553089326698,0.03961283422304063,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13458179,ok
ome,642,15,0.2837668575330074,0.053155653237317184,5.338413512973119,0.32812325272303755,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,41253426,ok
omf,201,15,0.29741180572634196,0.06909741475087638,4.3042392656603665,0.34636962802501636,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12533968,ok
otn,82,15,-0.008003053313975312,0.0749326981019447,0.1068032183104803,-0.007971114143224711,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3525352,ok
ppp,146,15,0.1074047974698717,0.0616862011101895,1.7411478667330393,0.1133848586452324,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,8857885,ok
prf,160,15,0.3740541160583982,0.09499916625021798,3.937446304246275,0.45361581228658543,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5431277,ok
tal,875,15,0.061859380686370785,0.0741020843578125,0.8347859742740019,0.06381274159218231,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42434387,ok
